agency_cd,site_no,datetime,flow
USGS,1175500,12/20/2016,45.1
USGS,1175500,12/21/2016,45.7
USGS,1175500,12/22/2016,46.1
USGS,1175500,12/23/2016,46.6
USGS,1175500,12/24/2016,47.6
USGS,1175500,12/25/2016,46.9
USGS,1175500,12/26/2016,47
USGS,1175500,12/27/2016,48.2
USGS,1175500,12/28/2016,47.8
USGS,1175500,12/29/2016,47.9
USGS,1175500,12/30/2016,47.7
USGS,1175500,12/31/2016,48.1
USGS,1175500,1/1/2017,48.6
USGS,1175500,1/2/2017,48.3
USGS,1175500,1/3/2017,49.9
USGS,1175500,1/4/2017,49.2
USGS,1175500,1/5/2017,48.6
USGS,1175500,1/6/2017,48.5
USGS,1175500,1/7/2017,48.1
USGS,1175500,1/8/2017,47.6
USGS,1175500,1/9/2017,47.3
USGS,1175500,1/10/2017,47.5
USGS,1175500,1/11/2017,48.9
USGS,1175500,1/12/2017,49.6
USGS,1175500,1/13/2017,48.7
USGS,1175500,1/14/2017,47.8
USGS,1175500,1/15/2017,47.8
USGS,1175500,1/16/2017,47.7
USGS,1175500,1/17/2017,47.9
USGS,1175500,1/18/2017,48.4
USGS,1175500,1/19/2017,48.1
USGS,1175500,1/20/2017,47.8
USGS,1175500,1/21/2017,47.9
USGS,1175500,1/22/2017,47.7
USGS,1175500,1/23/2017,47.8
USGS,1175500,1/24/2017,48
USGS,1175500,1/25/2017,48.4
USGS,1175500,1/26/2017,48.6
USGS,1175500,1/27/2017,48.5
USGS,1175500,1/28/2017,47.9
USGS,1175500,1/29/2017,47.8
USGS,1175500,1/30/2017,47.6
USGS,1175500,1/31/2017,47.6
USGS,1175500,2/1/2017,47.6
USGS,1175500,2/2/2017,47.6
USGS,1175500,2/3/2017,47.5
USGS,1175500,2/4/2017,47.2
USGS,1175500,2/5/2017,47.5
USGS,1175500,2/6/2017,47.6
USGS,1175500,2/7/2017,47.6
USGS,1175500,2/8/2017,47.9
USGS,1175500,2/9/2017,48.4
USGS,1175500,2/10/2017,46.8
USGS,1175500,2/11/2017,47
USGS,1175500,2/12/2017,47.2
USGS,1175500,2/13/2017,47
USGS,1175500,2/14/2017,46.7
USGS,1175500,2/15/2017,47.1
USGS,1175500,2/16/2017,47.3
USGS,1175500,2/17/2017,46.8
USGS,1175500,2/18/2017,47.2
USGS,1175500,2/19/2017,47.8
USGS,1175500,2/20/2017,47.6
USGS,1175500,2/21/2017,47.4
USGS,1175500,2/22/2017,47.8
USGS,1175500,2/23/2017,48.5
USGS,1175500,2/24/2017,49.6
USGS,1175500,2/25/2017,50.2
USGS,1175500,2/26/2017,49.7
USGS,1175500,2/27/2017,48.5
USGS,1175500,2/28/2017,48.3
USGS,1175500,3/1/2017,48.6
USGS,1175500,3/2/2017,48.3
USGS,1175500,3/3/2017,48
USGS,1175500,3/4/2017,47.8
USGS,1175500,3/5/2017,47.6
USGS,1175500,3/6/2017,47.7
USGS,1175500,3/7/2017,48.2
USGS,1175500,3/8/2017,48.8
USGS,1175500,3/9/2017,47.9
USGS,1175500,3/10/2017,48.1
USGS,1175500,3/11/2017,47.9
USGS,1175500,3/12/2017,47.8
USGS,1175500,3/13/2017,47.8
USGS,1175500,3/14/2017,48.8
USGS,1175500,3/15/2017,47.7
USGS,1175500,3/16/2017,47.6
USGS,1175500,3/17/2017,47.5
USGS,1175500,3/18/2017,47.2
USGS,1175500,3/19/2017,47.5
USGS,1175500,3/20/2017,47.4
USGS,1175500,3/21/2017,47.9
USGS,1175500,3/22/2017,47.7
USGS,1175500,3/23/2017,47.4
USGS,1175500,3/24/2017,47.6
USGS,1175500,3/25/2017,48.1
USGS,1175500,3/26/2017,48
USGS,1175500,3/27/2017,50.1
USGS,1175500,3/28/2017,50.7
USGS,1175500,3/29/2017,50.8
USGS,1175500,3/30/2017,48.7
USGS,1175500,3/31/2017,50
USGS,1175500,4/1/2017,51.3
USGS,1175500,4/2/2017,52
USGS,1175500,4/3/2017,50.9
USGS,1175500,4/4/2017,52.9
USGS,1175500,4/5/2017,51.9
USGS,1175500,4/6/2017,53.2
USGS,1175500,4/7/2017,53
USGS,1175500,4/8/2017,51.3
USGS,1175500,4/9/2017,50.9
USGS,1175500,4/10/2017,50.8
USGS,1175500,4/11/2017,50.5
USGS,1175500,4/12/2017,50.8
USGS,1175500,4/13/2017,50.2
USGS,1175500,4/14/2017,49.7
USGS,1175500,4/15/2017,49.9
USGS,1175500,4/16/2017,50.3
USGS,1175500,4/17/2017,50.1
USGS,1175500,4/18/2017,49.6
USGS,1175500,4/19/2017,48.8
USGS,1175500,4/20/2017,49.5
USGS,1175500,4/21/2017,50.9
USGS,1175500,4/22/2017,49.9
USGS,1175500,4/23/2017,49.7
USGS,1175500,4/24/2017,49.7
USGS,1175500,4/25/2017,49.8
USGS,1175500,4/26/2017,51.2
USGS,1175500,4/27/2017,50.1
USGS,1175500,4/28/2017,49.9
USGS,1175500,4/29/2017,49.8
USGS,1175500,4/30/2017,49.5
USGS,1175500,5/1/2017,49.4
USGS,1175500,5/2/2017,49.9
USGS,1175500,5/3/2017,49.5
USGS,1175500,5/4/2017,49.6
USGS,1175500,5/5/2017,50.8
USGS,1175500,5/6/2017,51.1
USGS,1175500,5/7/2017,49.8
USGS,1175500,5/8/2017,49.1
USGS,1175500,5/9/2017,49
USGS,1175500,5/10/2017,49.3
USGS,1175500,5/11/2017,49.4
USGS,1175500,5/12/2017,49.3
USGS,1175500,5/13/2017,49.8
USGS,1175500,5/14/2017,55.4
USGS,1175500,5/15/2017,51.3
USGS,1175500,5/16/2017,50.8
USGS,1175500,5/17/2017,50.3
USGS,1175500,5/18/2017,50.2
USGS,1175500,5/19/2017,50.6
USGS,1175500,5/20/2017,50.4
USGS,1175500,5/21/2017,50
USGS,1175500,5/22/2017,50.3
USGS,1175500,5/23/2017,50.4
USGS,1175500,5/24/2017,50.2
USGS,1175500,5/25/2017,49.6
USGS,1175500,5/26/2017,57.3
USGS,1175500,5/27/2017,51.5
USGS,1175500,5/28/2017,50.6
USGS,1175500,5/29/2017,50.5
USGS,1175500,5/30/2017,50.5
USGS,1175500,5/31/2017,52.2
USGS,1175500,6/1/2017,52.5
USGS,1175500,6/2/2017,50.8
USGS,1175500,6/3/2017,50.6
USGS,1175500,6/4/2017,50.4
USGS,1175500,6/5/2017,51
